Concessionnaires,Constructeur,Quotas 2010,Quotas 2009
Stafim,Peugeot,5550,5659
Aures ,Citroen,3200,3241
Economic,Mazda,830,850
Ennakl,VW/RVI,9950,7150
City Car,KIA,3000,1850
Le Moteur,FIAT/Hyndai,4350,4300
Le Moteur,Mercedes/Mitsubishi,1110,1050
ARTES,Renault,8550,8900
Adev,Nissan,475,490
Afrique Auto,GM,1000,1050
BSB,Toyota,1370,1300
Alpha Ford,Ford,3970,3000
Ben Jemaa,BMW,300,220
Sotudis,Ssangyong,150,100
Sayara,Volvo,180,130
Alpha MAN,MAN,395,300
Sotadies,Autocar,15,15
,IVECO,150,130
DALMAS,Scania,200,210
SOMER,Santana,25,
CoGEMOT,MITSUBISHI/DAF/Temsa245,15,15
SAM,,,250
